lon,lat,year,init_date,member,onset
68,20,2002,2002-05-02,1,NaT
68,20,2002,2002-05-02,2,NaT
68,20,2002,2002-05-02,3,NaT
68,20,2002,2002-05-02,4,NaT
68,20,2002,2002-05-02,5,NaT
68,20,2002,2002-05-02,6,NaT
68,20,2002,2002-05-02,7,NaT
68,20,2002,2002-05-02,8,NaT
68,20,2002,2002-05-02,9,NaT
68,20,2002,2002-05-02,10,NaT
68,20,2002,2002-05-02,11,NaT
68,20,2002,2002-05-02,12,NaT
68,20,2002,2002-05-02,13,NaT
68,20,2002,2002-05-02,14,NaT
68,20,2002,2002-05-02,15,NaT
68,20,2002,2002-05-02,16,NaT
68,20,2002,2002-05-02,17,NaT
68,20,2002,2002-05-02,18,NaT
68,20,2002,2002-05-02,19,NaT
68,20,2002,2002-05-02,20,NaT
68,20,2002,2002-05-02,21,NaT
68,20,2002,2002-05-02,22,NaT
68,20,2002,2002-05-02,23,NaT
68,20,2002,2002-05-02,24,NaT
68,20,2002,2002-05-02,25,NaT
68,20,2002,2002-05-02,26,NaT
68,20,2002,2002-05-02,27,NaT
68,20,2002,2002-05-02,28,NaT
68,20,2002,2002-05-02,29,NaT
68,20,2002,2002-05-02,30,NaT
68,20,2002,2002-05-02,31,NaT
68,20,2002,2002-05-02,32,NaT
68,20,2002,2002-05-02,33,NaT
68,20,2002,2002-05-02,34,NaT
68,20,2002,2002-05-02,35,NaT
68,20,2002,2002-05-02,36,NaT
68,20,2002,2002-05-02,37,NaT
68,20,2002,2002-05-02,38,NaT
68,20,2002,2002-05-02,39,NaT
68,20,2002,2002-05-02,40,NaT
68,20,2002,2002-05-02,41,NaT
68,20,2002,2002-05-02,42,NaT
68,20,2002,2002-05-02,43,NaT
68,20,2002,2002-05-02,44,NaT
68,20,2002,2002-05-02,45,NaT
68,20,2002,2002-05-02,46,NaT
68,20,2002,2002-05-02,47,NaT
68,20,2002,2002-05-02,48,NaT
68,20,2002,2002-05-02,49,NaT
68,20,2002,2002-05-02,50,NaT
68,20,2002,2002-05-02,51,NaT
68,20,2002,2002-05-05,1,NaT
68,20,2002,2002-05-05,2,NaT
68,20,2002,2002-05-05,3,NaT
68,20,2002,2002-05-05,4,NaT
68,20,2002,2002-05-05,5,NaT
68,20,2002,2002-05-05,6,NaT
68,20,2002,2002-05-05,7,NaT
68,20,2002,2002-05-05,8,NaT
68,20,2002,2002-05-05,9,NaT
68,20,2002,2002-05-05,10,NaT
68,20,2002,2002-05-05,11,NaT
68,20,2002,2002-05-05,12,NaT
68,20,2002,2002-05-05,13,NaT
68,20,2002,2002-05-05,14,NaT
68,20,2002,2002-05-05,15,NaT
68,20,2002,2002-05-05,16,NaT
68,20,2002,2002-05-05,17,NaT
68,20,2002,2002-05-05,18,NaT
68,20,2002,2002-05-05,19,NaT
68,20,2002,2002-05-05,20,NaT
68,20,2002,2002-05-05,21,NaT
68,20,2002,2002-05-05,22,NaT
68,20,2002,2002-05-05,23,NaT
68,20,2002,2002-05-05,24,NaT
68,20,2002,2002-05-05,25,NaT
68,20,2002,2002-05-05,26,NaT
68,20,2002,2002-05-05,27,NaT
68,20,2002,2002-05-05,28,NaT
68,20,2002,2002-05-05,29,NaT
68,20,2002,2002-05-05,30,NaT
68,20,2002,2002-05-05,31,NaT
68,20,2002,2002-05-05,32,NaT
68,20,2002,2002-05-05,33,NaT
68,20,2002,2002-05-05,34,NaT
68,20,2002,2002-05-05,35,NaT
68,20,2002,2002-05-05,36,NaT
68,20,2002,2002-05-05,37,NaT
68,20,2002,2002-05-05,38,NaT
68,20,2002,2002-05-05,39,NaT
68,20,2002,2002-05-05,40,NaT
68,20,2002,2002-05-05,41,NaT
68,20,2002,2002-05-05,42,NaT
68,20,2002,2002-05-05,43,NaT
68,20,2002,2002-05-05,44,NaT
68,20,2002,2002-05-05,45,NaT
68,20,2002,2002-05-05,46,NaT
68,20,2002,2002-05-05,47,NaT
68,20,2002,2002-05-05,48,NaT
68,20,2002,2002-05-05,49,NaT
68,20,2002,2002-05-05,50,NaT
68,20,2002,2002-05-05,51,NaT
68,20,2002,2002-05-09,1,NaT
68,20,2002,2002-05-09,2,NaT
68,20,2002,2002-05-09,3,NaT
68,20,2002,2002-05-09,4,NaT
68,20,2002,2002-05-09,5,NaT
68,20,2002,2002-05-09,6,NaT
68,20,2002,2002-05-09,7,NaT
68,20,2002,2002-05-09,8,NaT
68,20,2002,2002-05-09,9,NaT
68,20,2002,2002-05-09,10,NaT
68,20,2002,2002-05-09,11,NaT
68,20,2002,2002-05-09,12,NaT
68,20,2002,2002-05-09,13,NaT
68,20,2002,2002-05-09,14,NaT
68,20,2002,2002-05-09,15,NaT
68,20,2002,2002-05-09,16,NaT
68,20,2002,2002-05-09,17,NaT
68,20,2002,2002-05-09,18,NaT
68,20,2002,2002-05-09,19,NaT
68,20,2002,2002-05-09,20,NaT
68,20,2002,2002-05-09,21,NaT
68,20,2002,2002-05-09,22,NaT
68,20,2002,2002-05-09,23,NaT
68,20,2002,2002-05-09,24,NaT
68,20,2002,2002-05-09,25,NaT
68,20,2002,2002-05-09,26,NaT
68,20,2002,2002-05-09,27,NaT
68,20,2002,2002-05-09,28,NaT
68,20,2002,2002-05-09,29,NaT
68,20,2002,2002-05-09,30,NaT
68,20,2002,2002-05-09,31,NaT
68,20,2002,2002-05-09,32,NaT
68,20,2002,2002-05-09,33,NaT
68,20,2002,2002-05-09,34,NaT
68,20,2002,2002-05-09,35,NaT
68,20,2002,2002-05-09,36,NaT
68,20,2002,2002-05-09,37,NaT
68,20,2002,2002-05-09,38,NaT
68,20,2002,2002-05-09,39,NaT
68,20,2002,2002-05-09,40,NaT
68,20,2002,2002-05-09,41,NaT
68,20,2002,2002-05-09,42,NaT
68,20,2002,2002-05-09,43,NaT
68,20,2002,2002-05-09,44,NaT
68,20,2002,2002-05-09,45,NaT
68,20,2002,2002-05-09,46,NaT
68,20,2002,2002-05-09,47,NaT
68,20,2002,2002-05-09,48,NaT
68,20,2002,2002-05-09,49,NaT
68,20,2002,2002-05-09,50,NaT
68,20,2002,2002-05-09,51,NaT
68,20,2002,2002-05-12,1,NaT
68,20,2002,2002-05-12,2,NaT
68,20,2002,2002-05-12,3,NaT
68,20,2002,2002-05-12,4,NaT
68,20,2002,2002-05-12,5,NaT
68,20,2002,2002-05-12,6,NaT
68,20,2002,2002-05-12,7,NaT
68,20,2002,2002-05-12,8,NaT
68,20,2002,2002-05-12,9,NaT
68,20,2002,2002-05-12,10,NaT
68,20,2002,2002-05-12,11,NaT
68,20,2002,2002-05-12,12,NaT
68,20,2002,2002-05-12,13,NaT
68,20,2002,2002-05-12,14,NaT
68,20,2002,2002-05-12,15,NaT
68,20,2002,2002-05-12,16,NaT
68,20,2002,2002-05-12,17,NaT
68,20,2002,2002-05-12,18,NaT
68,20,2002,2002-05-12,19,NaT
68,20,2002,2002-05-12,20,NaT
68,20,2002,2002-05-12,21,NaT
68,20,2002,2002-05-12,22,NaT
68,20,2002,2002-05-12,23,NaT
