lon,lat,year,init_date,member,onset
68,20,2004,2004-05-02,1,NaT
68,20,2004,2004-05-02,2,NaT
68,20,2004,2004-05-02,3,NaT
68,20,2004,2004-05-02,4,NaT
68,20,2004,2004-05-02,5,NaT
68,20,2004,2004-05-02,6,NaT
68,20,2004,2004-05-02,7,NaT
68,20,2004,2004-05-02,8,NaT
68,20,2004,2004-05-02,9,NaT
68,20,2004,2004-05-02,10,NaT
68,20,2004,2004-05-02,11,NaT
68,20,2004,2004-05-06,1,NaT
68,20,2004,2004-05-06,2,NaT
68,20,2004,2004-05-06,3,NaT
68,20,2004,2004-05-06,4,NaT
68,20,2004,2004-05-06,5,NaT
68,20,2004,2004-05-06,6,NaT
68,20,2004,2004-05-06,7,NaT
68,20,2004,2004-05-06,8,NaT
68,20,2004,2004-05-06,9,NaT
68,20,2004,2004-05-06,10,NaT
68,20,2004,2004-05-06,11,NaT
68,20,2004,2004-05-09,1,NaT
68,20,2004,2004-05-09,2,NaT
68,20,2004,2004-05-09,3,NaT
68,20,2004,2004-05-09,4,NaT
68,20,2004,2004-05-09,5,NaT
68,20,2004,2004-05-09,6,NaT
68,20,2004,2004-05-09,7,NaT
68,20,2004,2004-05-09,8,NaT
68,20,2004,2004-05-09,9,NaT
68,20,2004,2004-05-09,10,NaT
68,20,2004,2004-05-09,11,NaT
68,20,2004,2004-05-13,1,NaT
68,20,2004,2004-05-13,2,NaT
68,20,2004,2004-05-13,3,NaT
68,20,2004,2004-05-13,4,NaT
68,20,2004,2004-05-13,5,NaT
68,20,2004,2004-05-13,6,NaT
68,20,2004,2004-05-13,7,NaT
68,20,2004,2004-05-13,8,NaT
68,20,2004,2004-05-13,9,NaT
68,20,2004,2004-05-13,10,NaT
68,20,2004,2004-05-13,11,NaT
68,20,2004,2004-05-16,1,NaT
68,20,2004,2004-05-16,2,NaT
68,20,2004,2004-05-16,3,NaT
68,20,2004,2004-05-16,4,NaT
68,20,2004,2004-05-16,5,NaT
68,20,2004,2004-05-16,6,NaT
68,20,2004,2004-05-16,7,NaT
68,20,2004,2004-05-16,8,NaT
68,20,2004,2004-05-16,9,NaT
68,20,2004,2004-05-16,10,NaT
68,20,2004,2004-05-16,11,NaT
68,20,2004,2004-05-20,1,NaT
68,20,2004,2004-05-20,2,NaT
68,20,2004,2004-05-20,3,NaT
68,20,2004,2004-05-20,4,NaT
68,20,2004,2004-05-20,5,NaT
68,20,2004,2004-05-20,6,NaT
68,20,2004,2004-05-20,7,03-Jun-2004
68,20,2004,2004-05-20,8,NaT
