,lat,lon,Mean MAE,model,horizon,Miss Rate,False Alarm Rate
0,8.0,76.0,4.5,Climatology,15,36.0,19.5
1,8.0,80.0,30.5,Climatology,15,100.0,1.2
2,12.0,76.0,5.333333333333333,Climatology,15,37.5,18.6
3,12.0,80.0,7.75,Climatology,15,62.5,14.799999999999999
4,16.0,72.0,4.166666666666667,Climatology,15,25.0,15.6
5,16.0,76.0,4.833333333333333,Climatology,15,33.300000000000004,25.0
6,16.0,80.0,6.0,Climatology,15,38.5,22.6
7,16.0,84.0,8.666666666666666,Climatology,15,59.3,25.900000000000002
8,20.0,68.0,8.6,Climatology,15,58.3,10.7
9,20.0,72.0,5.6,Climatology,15,52.0,12.5
10,20.0,76.0,8.166666666666666,Climatology,15,48.0,33.300000000000004
11,20.0,80.0,4.5,Climatology,15,24.0,19.3
12,20.0,84.0,4.0,Climatology,15,20.0,20.7
13,20.0,88.0,7.333333333333333,Climatology,15,48.1,21.4
14,24.0,68.0,9.0,Climatology,15,81.5,7.1
15,24.0,72.0,6.6,Climatology,15,46.2,18.2
16,24.0,76.0,2.6666666666666665,Climatology,15,20.0,9.1
17,24.0,80.0,5.4,Climatology,15,48.0,12.9
18,24.0,84.0,6.666666666666667,Climatology,15,46.2,21.2
19,24.0,88.0,9.166666666666666,Climatology,15,53.800000000000004,21.7
20,24.0,92.0,1.1666666666666667,Climatology,15,8.3,0.0
21,24.0,96.0,4.0,Climatology,15,25.900000000000002,24.0
22,28.0,68.0,11.25,Climatology,15,80.0,14.7
23,28.0,72.0,9.0,Climatology,15,81.5,4.2
24,28.0,76.0,7.833333333333333,Climatology,15,56.00000000000001,17.7
25,28.0,80.0,2.6,Climatology,15,26.900000000000002,13.200000000000001
26,28.0,84.0,6.666666666666667,Climatology,15,52.0,26.400000000000002
27,28.0,88.0,3.0,Climatology,15,20.0,23.400000000000002
28,28.0,92.0,3.5,Climatology,15,20.8,22.7
29,28.0,96.0,4.5,Climatology,15,32.0,24.0
30,32.0,72.0,29.0,Climatology,15,90.9,18.9
31,32.0,76.0,17.0,Climatology,15,55.00000000000001,16.5
32,32.0,80.0,9.666666666666666,Climatology,15,44.0,25.0
33,36.0,72.0,16.0,Climatology,15,54.50000000000001,12.8
34,36.0,76.0,14.6,Climatology,15,42.9,16.5
0,8.0,76.0,3.577777777777778,IFS,15,0.0,31.6
1,8.0,80.0,35.07090230031407,IFS,15,7.7,57.99999999999999
2,12.0,76.0,4.675714285714285,IFS,15,0.0,36.6
3,12.0,80.0,7.693506493506493,IFS,15,5.0,41.099999999999994
4,16.0,72.0,2.7904761904761903,IFS,15,30.0,13.5
5,16.0,76.0,3.594444444444444,IFS,15,5.0,28.199999999999996
6,16.0,80.0,3.8,IFS,15,9.1,24.4
7,16.0,84.0,6.082142857142857,IFS,15,34.8,32.6
8,20.0,68.0,4.0,IFS,15,65.0,4.9
9,20.0,72.0,2.5,IFS,15,42.9,12.5
10,20.0,76.0,4.023333333333333,IFS,15,15.0,26.1
11,20.0,80.0,2.4433333333333334,IFS,15,5.0,13.0
12,20.0,84.0,1.9366666666666668,IFS,15,4.8,9.1
13,20.0,88.0,5.806060606060607,IFS,15,18.2,33.300000000000004
14,24.0,68.0,2.466666666666667,IFS,15,63.6,3.3000000000000003
15,24.0,72.0,2.4714285714285715,IFS,15,45.5,10.4
16,24.0,76.0,5.675,IFS,15,14.299999999999999,28.599999999999998
17,24.0,80.0,2.916666666666667,IFS,15,5.0,14.000000000000002
18,24.0,84.0,2.916666666666667,IFS,15,0.0,19.2
19,24.0,88.0,7.051428571428571,IFS,15,0.0,43.1
20,24.0,92.0,1.78,IFS,15,0.0,10.0
21,24.0,96.0,3.9742857142857146,IFS,15,0.0,35.0
22,28.0,68.0,6.888888888888888,IFS,15,55.00000000000001,3.9
23,28.0,72.0,5.5,IFS,15,87.0,5.6000000000000005
24,28.0,76.0,6.977777777777777,IFS,15,9.5,23.9
25,28.0,80.0,3.7333333333333334,IFS,15,4.5,20.0
26,28.0,84.0,4.130714285714285,IFS,15,0.0,22.400000000000002
27,28.0,88.0,3.0,IFS,15,85.7,2.9000000000000004
28,28.0,92.0,2.416666666666667,IFS,15,15.0,11.1
29,28.0,96.0,2.2666666666666666,IFS,15,14.299999999999999,13.5
30,32.0,72.0,21.501616161616163,IFS,15,0.0,39.800000000000004
31,32.0,76.0,11.883333333333335,IFS,15,50.0,25.7
32,32.0,80.0,5.366666666666666,IFS,15,57.099999999999994,10.6
33,36.0,72.0,13.0,IFS,15,94.39999999999999,1.5
34,36.0,76.0,,IFS,15,100.0,0.0
0,8.0,76.0,3.7023809523809526,AIFS,15,4.0,23.9
1,8.0,80.0,28.821232057416267,AIFS,15,0.0,62.5
2,12.0,76.0,4.583333333333333,AIFS,15,16.7,25.0
3,12.0,80.0,6.171428571428572,AIFS,15,16.7,17.9
4,16.0,72.0,3.25,AIFS,15,12.5,17.8
