,fair_brier_skill,fair_rps_skill,lat,lon,horizon,dataset
0,-0.6034403764596523,-0.09363992910865804,8.0,76.0,15,FuXi-S2S
1,-1.694199316714526,-1.0132755568184297,8.0,80.0,15,FuXi-S2S
2,-0.23839671247643612,-0.17849561720220786,12.0,76.0,15,FuXi-S2S
3,-0.017506293621793345,0.22729395151841403,12.0,80.0,15,FuXi-S2S
4,-0.03358079928020663,0.019557580372589145,16.0,76.0,15,FuXi-S2S
5,0.14514967369889265,0.47481748784513667,16.0,80.0,15,FuXi-S2S
6,-0.35723237012438025,-0.009032983921164695,16.0,72.0,15,FuXi-S2S
7,-0.1501167830532777,0.23844572186974833,16.0,84.0,15,FuXi-S2S
8,0.14543467355816941,0.4599063121800201,20.0,76.0,15,FuXi-S2S
9,0.061969114469655695,0.3914702252674046,20.0,80.0,15,FuXi-S2S
10,0.047017395224577596,0.4120024041919049,20.0,72.0,15,FuXi-S2S
11,-0.04972680781863015,0.1991222973420197,20.0,84.0,15,FuXi-S2S
12,-0.5516934777285776,-0.140708130794037,20.0,68.0,15,FuXi-S2S
13,-0.4670607637456736,0.1345085534428948,20.0,88.0,15,FuXi-S2S
14,0.19194245050951164,0.35027082407006926,24.0,76.0,15,FuXi-S2S
15,0.08183903879370413,0.3673652865082311,24.0,80.0,15,FuXi-S2S
16,0.12906793918815596,0.3749747089686556,24.0,72.0,15,FuXi-S2S
17,-0.15054198112545603,0.033500158928819856,24.0,84.0,15,FuXi-S2S
18,-0.08752179592369425,0.32367242612419345,24.0,68.0,15,FuXi-S2S
19,-0.1752979763054867,0.19218381401094153,24.0,88.0,15,FuXi-S2S
20,-0.5543329621780082,-0.21708292671586826,24.0,92.0,15,FuXi-S2S
21,-0.7850812253651369,-0.3667314890323041,24.0,96.0,15,FuXi-S2S
22,0.4398343227687508,0.6642279244180906,28.0,76.0,15,FuXi-S2S
23,0.06718166054889152,0.3247163567473794,28.0,80.0,15,FuXi-S2S
24,-0.02766661382579083,0.04437967737312676,28.0,72.0,15,FuXi-S2S
25,-0.03227907544318809,0.19792824767388995,28.0,84.0,15,FuXi-S2S
26,0.09435810787468168,0.44862947395491604,28.0,68.0,15,FuXi-S2S
27,-0.5765705474477967,-0.12111267555155059,28.0,88.0,15,FuXi-S2S
28,0.13159146188335746,0.4041291578618148,28.0,92.0,15,FuXi-S2S
29,-0.164499796878103,0.1045822401342581,28.0,96.0,15,FuXi-S2S
30,-0.0785475634736188,0.16231753273904403,32.0,76.0,15,FuXi-S2S
31,-0.26914008545055523,-0.08489829577843588,32.0,80.0,15,FuXi-S2S
32,-0.439081321213628,0.3437056656239539,32.0,72.0,15,FuXi-S2S
33,-0.3995346902273009,-0.13130526841534862,36.0,76.0,15,FuXi-S2S
34,-0.7985224983210211,-1.6895333717176562,36.0,80.0,15,FuXi-S2S
35,-0.3810788043652933,0.021497853462063343,36.0,72.0,15,FuXi-S2S
0,-0.2507385329796441,0.17048596377188774,8.0,76.0,15,NGCM
1,-3.1959046887787466,-2.3970832871706493,8.0,80.0,15,NGCM
2,0.08516909961974217,0.2543492732191539,12.0,76.0,15,NGCM
3,0.007718291420415135,0.28006468324641987,12.0,80.0,15,NGCM
4,0.07446216658647509,0.21034379107335177,16.0,76.0,15,NGCM
5,0.0664792029779796,0.36319063768811444,16.0,80.0,15,NGCM
6,0.006258870469514788,0.348924290949271,16.0,72.0,15,NGCM
7,-0.05278233987628922,0.12039830032871002,16.0,84.0,15,NGCM
8,-0.028571771141489233,0.3336062201174036,20.0,76.0,15,NGCM
9,0.019106484551879244,0.3071243314370241,20.0,80.0,15,NGCM
10,0.16729344280642078,0.4937929299986027,20.0,72.0,15,NGCM
11,-0.07495631975615202,0.11958131355913804,20.0,84.0,15,NGCM
12,-0.07975235485632859,0.24011786840391613,20.0,68.0,15,NGCM
13,-0.40769700204032877,0.028134272220973533,20.0,88.0,15,NGCM
14,0.1992146694727358,0.3700522916967881,24.0,76.0,15,NGCM
15,0.16013377349236346,0.38692489357469784,24.0,80.0,15,NGCM
16,0.22599372622931402,0.4994632983166012,24.0,72.0,15,NGCM
17,-0.10274110279511661,-0.06420591344967619,24.0,84.0,15,NGCM
18,0.10275510409738586,0.4726913974424505,24.0,68.0,15,NGCM
19,-0.3866269285968096,-0.09123065333460167,24.0,88.0,15,NGCM
20,-0.22413758157758235,-0.014888119147711487,24.0,92.0,15,NGCM
21,-0.422560023936446,-0.11209440893824718,24.0,96.0,15,NGCM
22,0.2064986276789682,0.41103388994493495,28.0,76.0,15,NGCM
23,0.1827030971231809,0.34054072354171716,28.0,80.0,15,NGCM
24,0.28357891845971517,0.4876273542941415,28.0,72.0,15,NGCM
25,0.0841519432616522,0.3174935002525969,28.0,84.0,15,NGCM
26,0.14521197401743347,0.5113410776233227,28.0,68.0,15,NGCM
27,-0.5598377979022509,-0.12725503774298352,28.0,88.0,15,NGCM
28,0.15032729039423065,0.39905600626152404,28.0,92.0,15,NGCM
29,-0.5358685005076795,-0.47700248698762926,28.0,96.0,15,NGCM
30,-0.03372441034702178,0.16667292648491916,32.0,76.0,15,NGCM
31,-0.17307853163743903,0.030330340355380625,32.0,80.0,15,NGCM
32,-0.026724289535179357,0.5226448841388089,32.0,72.0,15,NGCM
33,-0.45323697660481943,-0.17545732916345336,36.0,76.0,15,NGCM
34,-0.8530307223913645,-1.7915291921576797,36.0,80.0,15,NGCM
35,-0.2741740251997191,0.11332640757303447,36.0,72.0,15,NGCM
0,-0.4137532678122591,0.02083626805715255,8.0,76.0,15,IFS
1,-3.0047147810763564,-2.412884627210093,8.0,80.0,15,IFS
2,-0.1871309064917699,-0.051798148116439124,12.0,76.0,15,IFS
3,-0.015866639367179802,0.20862940832854793,12.0,80.0,15,IFS
4,0.0831705593021016,0.2832325342821844,16.0,76.0,15,IFS
5,0.26114824321892005,0.5242423286911939,16.0,80.0,15,IFS
6,-0.04653196085299083,0.2793266947924983,16.0,72.0,15,IFS
7,0.03238093116196794,0.22807891955715254,16.0,84.0,15,IFS
8,-0.003295431527811976,0.36501669915572,20.0,76.0,15,IFS
9,0.09526617270759352,0.31992812004099747,20.0,80.0,15,IFS
10,0.1482221600197967,0.4426354998920319,20.0,72.0,15,IFS
11,0.16128447405970636,0.3178395989989541,20.0,84.0,15,IFS
